ID_EVENTO,Fecha,Tipo,Riesgo,EAR,MAR,Foto
20260629_201923_325929,2026-06-29 20:19:23,MICROSUEÑO,ALTO,0.3016,0.0000,EVD_20260629_201923_325929.jpg
20260629_202554_870874,2026-06-29 20:25:54,MICROSUEÑO,ALTO,0.2430,0.0000,EVD_20260629_202554_870874.jpg
20260629_203311_699199,2026-06-29 20:33:11,MICROSUEÑO,ALTO,0.4077,0.0000,EVD_20260629_203311_699199.jpg
20260629_203340_018007,2026-06-29 20:33:40,BOSTEZO,N/A,0.3291,1.1258,EVD_20260629_203340_018007.jpg
20260629_205238_918616,2026-06-29 20:52:38,MICROSUEÑO,ALTO,0.2743,0.0000,EVD_20260629_205238_918616.jpg
20260630_202653_717301,2026-06-30 20:26:53,MICROSUEÑO,ALTO,0.3165,0.0000,EVD_20260630_202653_717301.jpg
20260630_202729_334353,2026-06-30 20:27:29,MICROSUEÑO,ALTO,0.3144,0.0000,EVD_20260630_202729_334353.jpg
20260630_202907_810604,2026-06-30 20:29:07,MICROSUEÑO,ALTO,0.1438,0.0000,EVD_20260630_202907_810604.jpg
20260630_203413_457460,2026-06-30 20:34:13,MICROSUEÑO,ALTO,0.2802,0.0000,EVD_20260630_203413_457460.jpg
20260630_213311_562640,2026-06-30 21:33:11,MICROSUEÑO,ALTO,0.1637,0.0000,EVD_20260630_213311_562640.jpg,N/A
20260630_213346_500312,2026-06-30 21:33:46,MICROSUEÑO,ALTO,0.1491,0.0000,EVD_20260630_213346_500312.jpg,N/A
20260630_213359_341918,2026-06-30 21:33:59,BOSTEZO,N/A,0.2698,1.4509,EVD_20260630_213359_341918.jpg,N/A
20260630_214200_452537,2026-06-30 21:42:00,MICROSUEÑO,ALTO,0.2126,0.0000,EVD_20260630_214200_452537.jpg
20260630_214648_278064,2026-06-30 21:46:48,MICROSUEÑO,ALTO,0.2261,0.0000,EVD_20260630_214648_278064.jpg
20260630_214724_669257,2026-06-30 21:47:24,MICROSUEÑO,ALTO,0.2486,0.0000,EVD_20260630_214724_669257.jpg
20260630_214748_235695,2026-06-30 21:47:48,MICROSUEÑO,ALTO,0.2633,0.0000,EVD_20260630_214748_235695.jpg
20260630_214758_001447,2026-06-30 21:47:58,MICROSUEÑO,ALTO,0.2493,0.0000,EVD_20260630_214758_001447.jpg
20260630_214807_148580,2026-06-30 21:48:07,MICROSUEÑO,ALTO,0.2726,0.0000,EVD_20260630_214807_148580.jpg
